Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
1454;château;castle;þato;m.;þato;-1
1455;chaud (-e);hot, warm;sýcak;adj.;þo;345
1456;avoir chaud;tobe hot;sýcaklamak;v.;avuar þo;345
1457;chaudière;boiler;kazan;f.;þodiyer;-1
1458;chaudronnier;ironmonger;nalbur;m.;þodroniye;-1
1459;chauffage;heating;ýsýtma;m.;þofaj ;346
1460;chauffage centrale;central heating;merkezî ýsýtma, kalorifer;m.;þofaj ;346
1461;chauffe-bain;water heater;þofben;m.;þof-beñ;346
1462;chauffer;toheat;ýsýtmak;v.;þoför;346
1463;chauffeur de taxi;taxi driver;taksi þoförü;m.;þoför dö taksi;-1
1464;chaussette;socks;çorap;f.;þoset;347
1465;chausson;slipper;patik;m.;þosoñ;347
1466;chausson;slipper;terlik;m.;þosoñ;347
1467;chaussure;shoes;ayakkabý;f.;þosür;347
1468;chauve;bald;kel;adj.;þov;348
1469;chauve-souris;bat;yarasa;f.;þov-suri;348
1470;chef;chef;þef;m.;þef;349
1471;chef-d'œuvre;masterpiece;baþyapýt, þaheser;m.;þe-d'övr;349
1472;cheikh;sheik;þeyh;m.;þeyh;350
1473;Cheikh al islam;Sheikhul islam;Þeyhülislam;m.;þeyh al islam;350
1474;chemin;way;yol;m.;þömeñ;351
1475;chemin de fer;rail road;demiryolu;m.;þömeñ dö fer;351
1476;cheminée;fire-place, chimney;þömine, baca;f.;þömine;-1
1477;chemise;shirt;gömlek (erkek);f.;þömiz;352
1478;chemise de nuit;nightgown;gecelik;f.;þömiz dö nüi;352
1479;chemiserie;shirt shop;gömlek dükkaný;f.;þömiz(ö)ri;352
1480;chemisier;blouse;gömlek (bayan);m.;þömiziye;352
1481;chêne;oak;meþe;m.;þen;-1
1482;chenille;caterpillar;týrtýl;f.;þöniy;-1
1483;chèque;check;çek;f.;þek;353
1484;chèque postale;post cheque;posta çeki;m.;þek postâl;353
1485;chèque-voyage;traveller's cheque;seyahat çeki;m.;þek vuayaj;353
1486;chéquier;chequebook;çek defteri;m.;þekiye;353
1487;cher (chère);expensive, costly;pahalý;adj.;þer;354
1488;cher (chère);dear...;sevgili…, ;adj.;þer;354
1489;chercher;toseek;aramak;v.;þerþe;355
1490;chercher querelle à qqn;topick a quarrel with sb.;sataþmak;v.;þerþe körel a kelkœñ;355
1491;chéri (-e);darling;sevgilim (nida);m.f.;þeri;-1
1492;cherté;expensiveness, costliness;pahalýlýk;f.;þerte;354
1493;cheval (jument);horse;at;m.f.;þövâl;355
1494;chevalet;easel;þövale;m.;þövale;-1
1495;chevalier;knight;þövalye, kavalye;m.;þövalye;355
1496;chevet;bedside;baþucu;m.;þöve;356
1497;livre de chevet;bedside book;baþucu kitabý;m.;livr dö þöve;356
1498;cheveux;hair;saç;m.;þövö;-1
1499;cheville;ankle;ayak bileði;f.;þöviy;-1
1500;chèvre;goat;keçi;f.;þevr;357
1501;chevreau;kid;oðlak;m.;þevro;357
1502;chevreuil;roe deer;karaca;m.;þevröy;357
1503;chewing-gum;chewing-gum;çiklet, sakýz;m.;þuviñ-gam;-1
1504;chiant (-e);annoying;cansýkan, kafa ütüleyen;adj.;þiañ/þiant;-1
1505;chic;smart, chic;þýk;adj.;þik;358
1506;chic;stylishness;þýklýk;m.;þik;358
1507;chien (-ne);dog;köpek, it;m.f.;þiyeñ / þiyen;-1
1508;chier;toshit;pisliðini yapmak;v.;þiye;359
1509;faire chier;toannoy;can sýkmak,kafa ütülemek;v.;fer þiye;359
1510;chiffon;cloth;paçavra;m.;þifoñ;360
1511;chiffon;rag;þifon;m.;þifoñ;360
1512;chiffonnier;ragman;þifoniyer;m.;þifoniye;360
1513;chiffre;number;rakam;m.;þifr;361
1514;chiffre;code;þifre;m.;þifr;361
1515;chiffres d'affaires;sales figure, biling;ciro;m.;þifr d'afer;361
1516;Chili;Chili;Þili;m.;þili;362
1517;Chilien (-ne);from Chile;Þilili;m.f.;þiliyeñ/þiliyen;362
1518;chimère;idle fancy;kuruntu;f.;þimer;-1
1519;chimie;chemistry;kimya;f.;þimi;363
1520;chimiste;chemist;kimyager;m.;þimist;363
1521;chimpanzé;chimpanzee;þempanze;m.;þeñpañze;-1
1522;laChine ;China;Çin;f.;þin;363
1523;Chinois (-e);A Chinese;Çinli;m.f.;þinua/þinuaz;364
1524;chinois;chinese;Çince;m.;þinua;364
1525;chips;crisps, chips;cips;m.;þips;-1
1526;chirurgical (-e);surgical;cerrahî;adj.;þirürjikal;365
1527;chirurgie;surgery;cerrahlýk;f.;þirürji;365
1528;chirurgien;surgeon;cerrah, operatör;m.;þirürjiyeñ;365
1529;chlore;chlorine;klor;m.;klor;366
1530;chlorure;chloride;klorür;m.;klorür;366
1531;choc;shock;þok;m.;þok;368
1532;chocolat;chocolate;çikolata, çukulata;m.;þokola;-1
1533;chœur;chorus;koro;m.;kör;-1
1534;choisir ;tochoose ;seçmek;v.;þuazir;-1
1535;choix;alternative;seçenek;m.;þua;-1
1536;cholestérol;cholesterol;kolesterol;m.;kolesterol;-1
1537;chômage;unemployment, joblessness;iþsizlik;m.;þomaj;367
1538;chômeur (-euse);unemployed;iþsiz;m.f.;þomör/þomöz;367
1539;choquant( -e);shocking;hoþ karþýlanmayan, þok edici;adj.;þokañ;368
1540;choquer;toshock;þaþýrtmak;v.;þoke;368
1541;choral (-e);choral;koroya deðin;adj.;koral;-1
1542;chose;thing;þey;f.;þoz;369
1543;choses;things;öteberi;f.;þoz;369
1544;chou;cabbage;lahana;m.;þu;370
1545;chouette;nice, super;þirin;adj.;þuet;370
1546;chou-fleur;cauliflower;karnabahar;m.;þu-flör;370
1547;Chrétien (-ne);Christian;Hýristiyan;m.f.;kretiyeñ/kretiyen;371
1548;christianisme;Christianity;Hýristiyanlýk;m.;kristiyanizm;371
1549;chromosome;chromosome;kromozom;m.;kromozom;-1
1550;chronique;chronic;müzmin, sürüp giden;adj.;kronik;372
1551;chronique;chronical, column;köþe yazýsý;f.;kronik;372
1552;chrysanthème;chrysanthemum;kasýmpatý;m.;krizañtem;-1
1553;chuchotement;whisper;fiskos, fýsýltý;m.;þüþotmañ;373
1554;chuchoter;towhisper;fýsýldamak;v.;þüþote;373
1555;chute;fall;düþüþ;f.;þüt;374
1556;chute;waterfall;þelale;f.;þüt;374
1557;chuter;tofall;düþmek;v.;þüte;374
1558;cible;target;hedef;f.;sibl;-1
1559;cidre;cider;elma þarabý;m.;sidr;-1
1560;ciel;sky;gök, gökyüzü;m.;siyel;-1
1561;cigare;cigar;puro;m.;sigar;375
1562;cigarette;cigarette;sigara;f.;sigaret;375
1563;cigogne;stork;leylek;f.;sigoyn;-1
1564;cil;eyelash;kirpik;m.;sil;2123
1565;ciment;cement;çimento;m.;simañ;-1
1566;cimetière;cemetery;mezarlýk, kabristan;f.;simötiyer;-1
1567;cinéaste;film-maker;sinemacý;m.f.;sineast;-1
1568;cinéma;cinema;sinema;m.;sinema;376
1569;cinématographique;cinema, film;sinemaya deðin;adj.;sinematografik;376
1570;cinnamone;cinnamon;tarçýn;m.;sinamon;-1
1571;cinquantaine;about fifty;elli civarýnda;f.;senkanten;50000
1572;cirage de chaussure;shoe-polish;lostra;m.;siraj dö þosür;-1
1573;Circassien (-ne);Circassian;Çerkez;m.f.;sirkasyeñ;-1
1574;circoncision;circumcision;sünnet;f.;sirkoñsizyoñ;-1
1575;circonstance;circumstance;þart;f.;sirkonstans;-1
1576;circuit;circuit;devre;m.;sirküi;377
1577;circulaire;circular;yuvarlak bir þekilde;adj.;sirküler;377
1578;circulaire;newsletter;genelge;m.;sirküler;377
1579;circulation;traffic;trafik, dolaþým;f.;sirkülasyoñ;377
1580;circuler;tocirculate;dolaþým yapmak;v.;sirküle;377
1581;cirque;circus;sirk;m.;sirk;-1
1582;ciseaux;scissors;makas;m.;sizo;-1
1583;citadin (-e);citizen, townsman;þehirli, kentli;m.f.;sitadeñ/sitaden;378
1584;citation;quotation;alýntýlama;f.;sitasyoñ;379
1585;citation;summons;celp;f.;sitasyoñ;379
1586;cité;city;kent, þehir;f.;site;378
1587;citer;tocite;saymak (sýrayla);v.;site;379
1588;citoyen (-ne);citizen;vatandaþ, yurttaþ;m.f.;sitüayeñ/sitüayeñ;378
1589;citron;lemon;limon;m.;sitroñ;380
1590;citronnier;lemon tree;limon aðacý;m.;sitroniye;380
1591;citrouille;pumpkin;kabak, balkabaðý;f.;sitruy;-1
1592;citrus;citrus;turunçgiller;m.;sitrüs;-1
1593;civil (-e);civil;sivil, yurttaþlar arasý, medenî;adj.;sivil;381
1594;civilisation;civilization;uygarlýk, medeniyet;f.;sivilizasyoñ;381
1595;clair (-e);clear;aydýnlýk;adj.;kler;-1
1596;clair de lune;moonlight;mehtap;m.;kler dö lün;-1
1597;clairsemé (-e);scattered;seyrek;adj.;klersöme;-1
1598;clandestin (-e);clandestine;yasadýþý;adj.;klañdesteñ/klañdestin;-1
1599;clarinette;clarinet;klarnet;f.;klarinet;-1
1600;clarté;brightness, clarity;aydýnlýk;f.;klarte;-1
1601;classe;class;sýnýf, ders;f.;klas;382
1602;salle de classe;classroom;sýnýf;f.;sâl dö klas;382
1603;classer;toclassify, file;sýnýflandýrmak;v.;klase;383
1604;classeur;file;klasör;m.;klasör;383
1605;classification;classification;sýnýflandýrma;f.;klasifikasyoñ;383
1606;classique;classical;klasik;adj.;klasik;-1
1607;clavier;keyboard;klavye;m.;klavye;-1
1608;clé;key;anahtar;f.;kle;-1
1609;clémentine;clementine;mandalina çeþidi;f.;klemantin;-1
1610;client (-e);customer;müþteri;m.f.;kliyañ/kliyant;384
1611;clientèle;customers;müþteri portföyü;f.;kliyantel;384
1612;cligner de l'œuil;towink;kýrpmak (göz);v.;klinye dö l'öy;385
1613;climat;climate;iklim;m.;klima;386
1614;climatisation;air conditionning;havalandýrma;f.;klimatizasoñ;386
1615;clin de l'œuil;wink;kýrpma (göz);m.;kleñ dö l'öy;385
1616;clinique;clinical;klinik;adj.;klinik;387
1617;clinique;nursing home;klinik;f.;klinik;387
1618;clochard;tramp;sokak serserisi;m.;kloþar;-1
1619;cloche;bell;zil, çan;f.;kloþ;-1
1620;clôture;fence;çit;f.;klôtür;-1
1621;clou;nail;çivi;m.;klu;-1
1622;clown;clown;palyaço;m.;kluñ;-1
1623;club;club;kulüp, klüp;m.;klöb;-1
1624;coalition;coalition;koalisyon;f.;koalisyoñ;-1
1625;cobaye;guinea-pig;kobay;m.;kobay;-1
1626;Coca;Coca Cola;Coca Cola;m.;koka;-1
1627;cocaïne;cocaine;kokain;f.;kokain;-1
1628;coccinelle;ladybird;uçuç böceði, uður böceði;f.;koksinel;-1
1629;cochon;pig;domuz;m.;koþoñ;-1
1630;cocotte;casserole;tencere;f.;kokot;-1
1631;code;code;kod, þifre;m.;kod;388
1632;codé (-e);coded;þifreli;adj.;kode;388
1633;code civil;common law;yurttaþlýk yasasý, medenî kanun ;m.;kod sivil;388
1634;code de la route;highway code;trafik yasasý;m.;kod dö la rut;388
1635;code des obligations;obligations code;borçlar yasasý;m.;kod dezobligasyoñ;388
1636;code pénal;penal code;ceza yasasý;m.;kod penal;388
1637;code postale;postal code;posta kodu;m.;kod postal;388
1638;cœur;heart;kalp, yürek, gönül;m.;kör;-1
1639;coffre;chest;sandýk;m.;kofr;389
1640;coffre;coffer;kasa;m.;kofr;389
1641;coffre;boot;bagaj (araba);m.;kofr;389
1642;cognac;cognac;konyak;m.;konyak;-1
1643;coiffé (-e);dressed hair;saç (yapýlý);adj.;kuafe;390
1644;coiffer;todo someone's hair;saçýna þekil vermek (baþkasýnýn);v.;kuafe;390
1645;secoiffer ;todo one's hair;saçýna þekil vermek (kendi);v.;sö kuafe;390
1646;coiffeur (-euse);hairdresser;kuaför;m.f.;kuaför/kuaföz;390
1647;coiffure;hair style;saç þekli, saç tarzý;f.;kuafür;390
1648;coin;corner;köþe;m.;kuañ;391
1649;aucoin de;round the corner;köþesinde;adv.;o kuañ dö;391
1650;coïncidence;coincidence;çakýþma, rastlantý, tesadüf;f.;koinsidans;392
1651;coïncider;tocoincide;çakýþmak;v.;koinside;392
1652;coing;quince;ayva;m.;kuañ;-1
1653;col;neck;boyun, gerdan;m.;kôl;393
1654;col;collar;yaka (gömlek);m.;kôl;393
1655;colchique;colchicum;çiðdem;f.;kolþik;-1
1656;colère;anger;hiddet, sinir;f.;koler;394
1657;coléreux (-euse);irascible, angry;sinirli;adj.;kolerö / koleröz;394
1658;colis;parcel, packet;koli;m.;koli;-1
1659;collaborateur (-trice);collaborator;iþbirlikçi;m.f.;kôlaboratör/-tris;395
1660;collaboration;collaboration;iþbirliði;f.;kôlaborasyoñ;395
1661;collant;tights;külotlu çorap;m.;kôlañ;-1
1662;colle;glue;zamk;f.;kol;396
1663;colle forte;glue;tutkal;f.;kôl fort;396
1664;collectif (-ve);collective;ortaklaþa;adj.;kolektif / -tiv;397
1665;nom collectif;collective noun;topluluk ismi;m.;noñ kôlektif;397
1666;collection;collection;koleksiyon;f.;koleksiyoñ;398
1667;collectionner;tocollect;koleksiyon yapmak;v.;koleksiyone;398
1668;collectivité;collectivity;topluluk;f.;kolektivite;-1
1669;collège;secondary school;ortaokul;m.;kolej;-1
1670;collègue;colleague;arkadaþ (iþ);m.f.;koleg;-1
1671;coller;tostick;yapýþtýrmak;v.;kôle;396
1672;secoller ;tostick to;yapýþmak;v.;sö kole;396
1673;collier;necklace;kolye, gerdanlýk;m.;kolye;-1
1674;colline;hill;tepe;f.;kôlin;399
1675;petite colline;little hill;tümsek;f.;pötit kolin;399
1676;colocataire;joint tenant, room mate;kiracý (ortak);m.f.;kolokater;-1
1677;colombe;dove;güvercin;f.;kôloñb;400
1678;Colombien (-ne);Colombian;Kolombiyalý;m.f.;kôloñbiyeñ/-yen;400
1679;colonie;colony;sömürge, koloni;f.;kolôni;401
1680;colonisation;colonization;sömürgecilik;f.;kolônizasyoñ;401
1681;colonne;column;sütun, kolon;f.;kolon;402
1682;colonne vertébrale;spine;belkemiði, omurga;f.;kolon vertebral;402
1683;colorant (-e);colouring;renklendirici;adj.;kolorañ / -ant;403
1684;coloré (-e);colored;renkli;adj.;kolore;403
1685;colorer;tocolour;renklendirmek;v.;kolore;403
1686;coma;coma;koma;m.;koma;-1
1687;combattre;tocombat;dövüþmek;v.;kombatr;-1
1688;combien (de + nom);how much? how many?;kaç?, ….ne kadar, kaç tane…;adv.;koñbiyeñ;-1
1689;combinaison;combination;birleþim;f.;koñbinezoñ;404
1690;combinaison;woman's underwear;kombinezon;f.;koñbinezoñ;404
1691;combiner;tocombine;birleþtirmek;v.;koñbine;404
1692;combustible;fuel;yakýt, yakacak;m.;koñbüstibl;405
1693;combustion;combustion;yanma;f.;koñbüsyon;405
1694;comédie;comedy;komedi;f.;komedi;406
1695;comédien (-ne);actor, actress;oyuncu, aktör/aktris;m.f.;komedyeñ / -yen;406
1696;comète;comet;kuyrukluyýldýz;f.;komet;-1
1697;comique;funny;komik;adj.;komik;406
1698;comité;committee;kurul;m.;komite;-1
1699;commandant;major;komutan, kumandan;m.;komañdañ;407
1700;commandant en chef;commander-in-chief;baþkomutan;m.;komañdañ añ þef;407
1701;commandement;command, order;komut, ferman, kumanda;m.;komad(ö)mañ;407
1702;commander;tocommand;ýsmarlamak (sipariþ);v.;komañde;407
1703;commande;tocommand, to order;komuta etmek;f.;komand;407
1704;commander;order, command;"sipariþ; komuta, kumanda";v.;komande;407
1705;comme;like, as;gibi…;adv.;kom;408
1706;comme si + imparfait;as if…;sanki, …miþ gibi;exp.;kom si ….;408
1707;aucommencement;in the beginning;baþlangýçta;exp.;o komansmañ;409
1708;commencement;beginning;baþlangýç;m.;komansmañ;409
1709;commencer;tobegin;baþlamak;v.;komañse;409
1710;comment?;how ;nasýl?;adv.;komañ;-1
1711;commentaire;comment;yorum;m.;komañter;-1
1712;commerce;trade;ticaret;m.;komers;410
1713;commerce équitable;fair trade;adil ticaret;m.;komers ekitabl;410
1714;commercial (-e);commercial;ticarî;adj.;komersiyal;410
1715;commercialiser;tocommercialize;pazarlamak;v.;komersiyalize;410
1716;commerçant (-e);merchant;tüccar;m.f.;komersañ/-ant;410
1717;commerçant (-e);shopkeeper;esnaf;m.f.;komersañ/-ant;410
1718;commettre ;tocommit;iþlemek (suç);v.;kometr;-1
1719;commissaire;superintendent;komiser;m.;komiser;411
1720;commissariat;police station;karakol;m.;komisarya;411
1721;commode;handy, easy, convenient;kullanýþlý;adj.;komod;412
1722;commode;bedstand, commode, chest of drawers;komodin;f.;komod;412
1723;commun (-e);common, joint;ortak;adj.;komöñ/komün;413
1724;nomcommun;common noun;cins isim;m.;noñ komöñ;413
1725;communal (-e);communal, local;ilçeye deðin;adj.;komünal;414
1726;communautaire;communal;birliðe deðin;adj.;komünoter;414
1727;communauté;community;birlik, topluluk, cemaat;f.;komünote;414
1728;commune;commune;ilçe;f.;komün;414
1729;communication;communication;iletiþim;f.;komünikasyoñ;415
1730;communiquer;tocommunicate;iletiþime geçmek;v.;komünike;415
1731;secommuniquer ;tospread;haberleþmek;v.;sö komünike;415
1732;communisme;communism;komünizm;m.;komünizm;416
1733;communiste;communist;komünist;m.f.;komünist;416
1734;compagne;companion;eþ;f.;koñpayn;417
1735;compagnie;company;þirket;f.;koñpanyi;-1
1736;compagnon (compagne);companion;eþ;m.f.;koñpanyoñ/koñpayn;417
1737;comparaison;comparison;mukayese;f.;koñparezoñ;418
1738;comparer;tocompare;kýyaslamak, karþýlaþtýrmak;v.;koñpare;418
1739;compartiment;compartment;kompartýman;m.;koñpartimañ;-1
1740;compatriote;compatriot;yurttaþ;m.f.;koñpatriyot;-1
1741;compétence;competence;istidat, yetenek;f.;koñpetans;419
1742;compétent (-e);competent;yetkin;adj.;koñpetañ /-ant;419
1743;compétition;competition;rekabet, yarýþma;f.;koñpetisyoñ;-1
1744;complément;complement;tamamlayýcý, tümleç;m.;koñplemañ;420
1745;complet (-ète);complete;eksiksiz, tamam;adj.;koñple/koñplet;420
1746;complètement;completely;eksiksizce, tam;adv.;koñpletmañ;420
1747;compléter  ;tocomplete, to fill (up);tamamlamak, doldurmak;v.;koñplete;420
1748;complexe;complex;"kompleks, karmaþýk; bütünlük";m.;koñpleks;421
1749;compliment;compliment;iltifat, kompliman;m.;koñplimañ;-1
1750;compliqué (-e);complicated;karmaþýk;adj.;koñplike;421
1751;complot;conspiracy;komplo;m.;koñplo;-1
1752;comportement;behavior;davranýþ;m.;koñportmañ;422
1753;secomporter avec… ;tobehave;davranmak;v.;sö koñporte avek;422
1754;composant;component;bileþen;m.;koñpozañ / -ant;423
1755;composé (-e);composite;bileþik;adj.;koñpoze;423
1756;nom composé;composite noun;bileþik isim;m.;nom(noñ) koñpoze;423
1757;secomposer ;tobe composed of…;oluþmak (-den);v.;sö koñpoze;423
1758;compositeur;composer;besteci;m.;koñpozitör;423
1759;composition;composition;beste, kompozisyon;f.;koñpozisyoñ;423
1760;composition;setting;dizgi (baský);f.;koñpozisyoñ;423
1761;compôte;compote;komposto;f.;koñpot;-1
1762;compréhension;understanding;anlama ;f.;koñpreansiyoñ;424
1763;comprendre;tounderstand, to comprise;anlamak;v.;koñprandr;424
1764;compresse;compress;kompres;f.;koñpres;-1
1765;comprimé;tablet;tablet, hap;m.;koñprime;-1
1766;compris (-e);included;dâhil, içinde;adj.;koñpri/koñpriz;425
1767;compris (-e);understood;anlaþýlmýþ;adj.;koñpri/koñpriz;425
1768;comptabilité;accountancy;muhasebe;f.;koñtablite;426
1769;comptable;accountant;muhasebeci;m.f.;koñtabl;426
1770;compte;account;hesap (banka);m.;koñt;427
1771;compter;tocount;saymak (sayý);v.;koñte;427
1772;compteur;meter;sayaç;m.;koñtör;427
1773;comptoir;counter;tezgâh;m.;koñtuar;427
1774;comte (comtesse);a count, a countess;kont, kontes;m.;koñt;-1
1775;concentration;concentration;yoðunlaþma;f.;koñsañtrasyoñ;428
1776;seconcentrer ;toconcentrate;yoðunlaþmak;v.;sö koñsañtre;428
1777;concept;concept;kavram, mefhum;m.;koñsept;429
1778;conception;conception;kavrayýþ;f.;koñsepsiyoñ;429
1779;concerner;toconcern;içermek, ilgilendirmek;v.;koñserne;-1
1780;concert;concert;konser;m.;koñser;-1
1781;concession;concession;ödün;f.;koñsesyoñ;-1
1782;concevoir;toconceive;tasarlamak;v.;koñsövuar;429
1783;concierge;doorman;kapýcý;m.f.;koñsiyerj;-1
1784;conclure;toconclude ;sonuçlandýrmak;v.;koñklür;430
1785;conclusion;conclusion;sonuç;f.;koñklüzyoñ;430
1786;concombre;cucumber;salatalýk, hýyar;m.;koñkoñbr;-1
1787;concordance;concordance, agreement;mutabakat;f.;koñkordans;-1
1788;concourir;toconcur, to compete;yarýþmak;v.;koñkurir;431
1789;concours;contest;yarýþma;m.;koñkur;431
1790;concret (-ète);concrete;somut;adj.;koñkre;432
1791;nomconcret;concrete noun;somut isim;m.;nom(noñ) konkre;432
1792;concrétiser;tomaterialize;somutlaþtýrmak;v.;koñkretize;432
1793;concubinage;cohabitation;nikâhsýz yaþama;m.;koñkübinaj;-1
1794;concurrent (-e);competitive;yarýþan, rekabet eden;m.f.;koñkürañ /-ant;-1
1795;condamner;tocondemn;mahkûm etmek;v.;koñdane;-1
1796;condiment;condiment;çeþni;m.;koñdimañ;433
1797;condiment;spices;baharat;m.;koñdimañ;433
1798;condition;condition;hal, þart;f.;koñdisyoñ;434
1799;àcondition que;provided that;þartýyla;conj.;a koñdisyoñ kö;434
1800;condition 'sine qua non';sine qua non' condition;vazgeçilmez þart;exp;sine kua noñ;434
1801;conditionnel (-le);conditional ;þarta baðlý;adj.;koñdisyonel;434
1802;conditionnel;conditional tense;þart kipi;m.;koñdisyonel;434
1803;condoléance(s);condoleances;baþsaðlýðý, taziye;f.;koñdoleans;435
1804;offrir ses condoléances à qqn;tocondole;baþsaðlýðý dilemek;f.;ofrir se koñdoleans a;435
1805;conducteur (-trice);driver;þoför, sürücü;m.f.;koñdüktör/koñdüktris;436
1806;conduire;todrive ;sürmek;v.;koñdüir;436
1807;conduire;tolead;götürmek;v.;koñdüir;436
1808;permis de conduire;driving license;ehliyet, sürücü belgesi;m.;permi dö kondüir;436
1809;seconduire ;tobehave;davranmak;v.;sö koñdüir;436
1810;conduite;behaviour;davranýþ;f.;koñdüit;436
1811;cône;cone;huni;m.;kon;-1
1812;confection;clothing industry;konfeksiyon;f.;koñfeksiyoñ;-1
1813;conférence;conference, meeting;konferans;f.;koñferans;-1
1814;confession;confession;itiraf;f.;koñfesyoñ;-1
1815;confiance;confidence, trust;güven, itimat;f.;koñfiyans;438
1816;faire confiance;totrust;güvenmek;v.;fer konfiyañs;438
1817;avoir confiance en/à qqn;tolean on, up;güvenmek;v.;avuar konfiyans añ;438
1818;confiance en Dieu;trust in God;tevekkül;f.;koñfiyans añ Diyö;438
1819;confiance en soi;self-confidence;kendine güven;f.;koñfiyans añ sua;438
1820;confiant (-e);confident;güvenen;m.f.;koñfiyañ /-ant;438
1821;confidence;confidence;sýrrýný açma;f.;koñfidans;439
1822;confidence en soi;self confidence;özgüven;f.;koñfidans añ sua;439
1823;confident (-e);confidant / confidante;sýrdaþ;adj.;koñfidañ /-ant;439
1824;confidentiel (-le);confidential;mahrem;adj.;koñfidañsiyel;439
1825;confier;toentrust, confide;sýrrýný açmak, emanet etmek;v.;koñfiye;440
1826;se confier ;toconfide in;inanýp güvenmek;v.;sö koñfiye;440
1827;confirmation;confirmation;onaylama, onay, teyid;f.;koñfirmasyoñ;441
1828;confirmer;toconfirm;onaylamak, teyid etmek;v.;koñfirme;441
1829;confiture;jam;reçel;f.;koñfitür;-1
1830;conflit;conflict;çatýþma (fikir);m.;koñfli;442
1831;être en conflit avec;tobe in conflict with;çatýþmak;v.;etr añ koñfli avek;442
1832;confondre;toconfuse, to mistake;karýþtýrmak (yanýlmak);v.;koñfondr;443
1833;seconfondre ;tobe confused, to get mixed;karýþmak;v.;sö koñfondr;443
1834;conforme;accordance(in accordance with);uygun;adj.;koñform;444
1835;conformément;in accordance with;gereðince;adv.;koñformemañ;444
1836;conformité;conformity;uygunluk;f.;koñformite;444
1837;confort;comfort;rahatlýk, konfor;m.;koñfor;445
1838;confortable;comfortable;rahat, konforlu;adj.;koñfortabl;445
1839;confortablement;comfortably;rahat, konforlu bir biçimde;adv.;koñfortablmañ;445
1840;seconfronter ;toconfront;yüzleþmek;v.;sö koñfroñte;-1
1841;confus (-e);confused;kafasý karýþýk;adj.;koñfü/koñfüz;-1
1842;congé;day off, holiday;izin günü;m.;koñje;-1
1843;congélateur;freezer;derin dondurucu;m.;koñjelatör;446
1844;congelé (-e);frozen;dondurulmuþ;adj.;koñjöle;446
1845;congeler;tofreeze;dondurmak;v.;koñjöle;446
1846;congénère;fellow creature;soydaþ;m.f.;koñjener;-1
1847;conjonction;conjunction;birleþme, baðlaç;f.;koñjonksiyoñ;-1
1848;conjugaison;conjugation;çekim (yüklem);f.;koñjügezoñ;-1
1849;connaissance;acquaintance;tanýdýk;f.;konesans;447
1850;connaissance;knowledge;bilgi;f.;konesans;447
1851;faire la connaissance de..;tomeet;tanýþmak;v.;fer la konesans dö…;447
1852;connaître;to know;tanýmak, bilmek;v.;konetr;447
1853;seconnecter ;toconnect;baðlanmak;v.;konekte;448
1854;connexion;connection;baðlantý;f.;koneksiyoñ;448
1855;connu (-e);known;bilinen, mâlum;adj.;konü;449
1856;connu (-e);well-known;tanýnmýþ, ünlü;adj.;konü;449
1857;conquérant;conqueror;fatih;m.;koñkerañ;450
1858;conquérir;toconquer;fethetmek;v.;koñkerir;450
1859;consacrer;toconsecrate;adamak;v.;koñsakre;451
1860;seconsacrer ;toconsecrate oneself,devote to;adanmak;v.;sö koñsakre;451
1861;consciemment;conciously;bilinçli;adv.;koñsiyamañ;452
1862;conscience;conscience;bilinç, þuur, vicdan;f.;koñsiyans;452
1863;consciencieux (-euse);conscientious;vicdanlý;adj.;koñsiyansiyö /-öz;452
1864;conscient (-e);conscious;bilinçli;adj.;koñsiyañ /-yant;452
1865;consécutif (-ve);consecutive;ardýþýk;adj.;koñsekütif/koñsekütiv;-1
1866;conseil;advice;öneri, tavsiye, nasihat;m.;koñsey;453
1867;Conseil d'Etat;Council of State;Danýþtay;m.;konsey d'eta;453
1868;conseiller (-ère);adviser;müþavir;m.f.;koñseye/-er;453
1869;conseiller;toadvise;öðütlemek;v.;koñseye;453
1870;conseiller;toadvise;önermek,tavsiye etmek,salýk vermek;v.;koñseye;453
1871;consentant;consenting;razý;adj.;koñsañtañ;454
1872;consentement;consent;rýza;m.;koñsant(ö)mañ;454
1873;conséquence;consequence;sonuç ;f.;koñsekans;455
1874;enconséquence;consequently, accordingly;bundan dolayý, sonuç olarak;exp.;añ koñsekans;455
1875;par conséquent;consequently;bundan dolayý, sonuç olarak;exp.;par koñsekañ;455
1876;conservateur (-trice);conservative;muhafazakâr;m.f.;koñservatör/-tris;456
1877;conservation;conservation;muhafaza;f.;koñservasyoñ;456
1878;conserve;preserve;koruma, muhafaza etme;f.;koñserv;456
1879;conserve;tinned food;konserve;f.;koñserv;456
1880;conserver;topreserve;korumak;v.;koñserve;456
1881;considérable;considerable;saygýn, muazzam;adj.;koñsiderabl;457
1882;considérer;toconsider;varsaymak, addetmek;v.;koñsidere;457
1883;consigne;left-luggage;emanet;m.;koñsiyn;458
1884;consigne;order;yönerge, tâlimat;f.;koñsiyn;458
1885;consolation;consolation;tesellî;f.;koñsolasyoñ;459
1886;consoler;toconsole;avutmak, teselli etmek;v.;koñsole;459
1887;seconsoler;toconsole oneself;avunmak;v.;sö koñsole;459
1888;consommateur (-trice);consumer;tüketici;m.f.;koñsomatör;460
1889;consommation;consummation;tüketim;f.;koñsomasyoñ;460
